article_id,prod_name,product_type_name,product_group_name,graphical_appearance_name,colour_group_name,perceived_colour_value_name,perceived_colour_master_name,department_name,index_name,index_group_name,section_name,garment_group_name,detail_desc
108775015,Strap top,Vest top,Garment Upper body,Solid,Black,Dark,Black,Jersey Basic,Ladieswear,Ladieswear,Womens Everyday Basics,Jersey Basic,Jersey top with narrow shoulder straps.
108775044,Strap top,Vest top,Garment Upper body,Solid,White,Light,White,Jersey Basic,Ladieswear,Ladieswear,Womens Everyday Basics,Jersey Basic,Jersey top with narrow shoulder straps.
108775051,Strap top (1),Vest top,Garment Upper body,Stripe,Off White,Dusty Light,White,Jersey Basic,Ladieswear,Ladieswear,Womens Everyday Basics,Jersey Basic,Jersey top with narrow shoulder straps.
110065001,OP T-shirt (Idro),Bra,Underwear,Solid,Black,Dark,Black,Clean Lingerie,Lingeries/Tights,Ladieswear,Womens Lingerie,"Under-, Nightwear","Microfibre T-shirt bra with underwired, moulded, lightly padded cups that shape the bust and provide good support. Narrow adjustable shoulder straps and a narrow hook-and-eye fastening at the back. Without visible seams for greater comfort."
110065002,OP T-shirt (Idro),Bra,Underwear,Solid,White,Light,White,Clean Lingerie,Lingeries/Tights,Ladieswear,Womens Lingerie,"Under-, Nightwear","Microfibre T-shirt bra with underwired, moulded, lightly padded cups that shape the bust and provide good support. Narrow adjustable shoulder straps and a narrow hook-and-eye fastening at the back. Without visible seams for greater comfort."
110065011,OP T-shirt (Idro),Bra,Underwear,Solid,Light Beige,Dusty Light,Beige,Clean Lingerie,Lingeries/Tights,Ladieswear,Womens Lingerie,"Under-, Nightwear","Microfibre T-shirt bra with underwired, moulded, lightly padded cups that shape the bust and provide good support. Narrow adjustable shoulder straps and a narrow hook-and-eye fastening at the back. Without visible seams for greater comfort."
111565001,20 den 1p Stockings,Underwear Tights,Socks & Tights,Solid,Black,Dark,Black,Tights basic,Lingeries/Tights,Ladieswear,"Womens Nightwear, Socks & Tigh",Socks and Tights,"Semi shiny nylon stockings with a wide, reinforced trim at the top. Use with a suspender belt. 20 denier."
111565003,20 den 1p Stockings,Socks,Socks & Tights,Solid,Beige,Medium Dusty,Beige,Tights basic,Lingeries/Tights,Ladieswear,"Womens Nightwear, Socks & Tigh",Socks and Tights,"Semi shiny nylon stockings with a wide, reinforced trim at the top. Use with a suspender belt. 20 denier."
111586001,Shape Up 30 den 1p Tights,Leggings/Tights,Garment Lower body,Solid,Black,Dark,Black,Tights basic,Lingeries/Tights,Ladieswear,"Womens Nightwear, Socks & Tigh",Socks and Tights,Tights with built-in support to lift the bottom. Black in 30 denier and light amber in 15 denier.
111593001,Support 40 den 1p Tights,Underwear Tights,Socks & Tights,Solid,Black,Dark,Black,Tights basic,Lingeries/Tights,Ladieswear,"Womens Nightwear, Socks & Tigh",Socks and Tights,"Semi shiny tights that shape the tummy, thighs and calves while also encouraging blood circulation in the legs. Elasticated waist."
111609001,200 den 1p Tights,Underwear Tights,Socks & Tights,Solid,Black,Dark,Black,Tights basic,Lingeries/Tights,Ladieswear,"Womens Nightwear, Socks & Tigh",Socks and Tights,Opaque matt tights. 200 denier.
112679048,SWEATSHIRT  OC,Sweater,Garment Upper body,All over pattern,Grey,Dusty Light,Grey,Baby basics,Baby Sizes 50-98,Baby/Children,Baby Essentials & Complements,Jersey Basic,Sweatshirt in soft organic cotton with a  press-stud on one shoulder (sizes 12-18 months and 18-24 months without a press-stud). Brushed inside.
112679052,SWEATSHIRT  OC,Sweater,Garment Upper body,All over pattern,Light Blue,Dusty Light,Blue,Baby basics,Baby Sizes 50-98,Baby/Children,Baby Essentials & Complements,Jersey Basic,Sweatshirt in soft organic cotton with a  press-stud on one shoulder (sizes 12-18 months and 18-24 months without a press-stud). Brushed inside.
114428026,Alice BANDEAU 2-p,Bra,Underwear,Stripe,White,Light,White,Casual Lingerie,Lingeries/Tights,Ladieswear,Womens Lingerie,"Under-, Nightwear",Two soft bandeau bras in soft jersey with side support and a silicone trim at the top.
114428030,Alice BANDEAU 2-p,Bra,Underwear,Solid,Light Grey,Dusty Light,Grey,Casual Lingerie,Lingeries/Tights,Ladieswear,Womens Lingerie,"Under-, Nightwear",Two soft bandeau bras in soft jersey with side support and a silicone trim at the top.
116379047,Frugan longsleeve,Top,Garment Upper body,Solid,Dark Blue,Dark,Blue,Jersey Basic,Ladieswear,Ladieswear,Womens Everyday Basics,Jersey Basic,Fitted top in soft stretch jersey with a wide neckline and long sleeves.
118458003,Jerry jogger bottoms,Trousers,Garment Lower body,Melange,Dark Grey,Dark,Grey,Jersey Basic,Menswear,Menswear,Men Underwear,Jersey Basic,"Trousers in sweatshirt fabric with an elasticated drawstring waist, side pockets, a back pocket and ribbed hems. Soft brushed inside."
118458004,Jerry jogger bottoms,Trousers,Garment Lower body,Melange,Grey,Medium Dusty,Grey,Jersey Basic,Menswear,Menswear,Men Underwear,Jersey Basic,"Trousers in sweatshirt fabric with an elasticated drawstring waist, side pockets, a back pocket and ribbed hems. Soft brushed inside."
118458028,Jerry jogger bottoms,Trousers,Garment Lower body,Solid,Black,Dark,Black,Jersey Basic,Menswear,Menswear,Men Underwear,Jersey Basic,"Trousers in sweatshirt fabric with an elasticated drawstring waist, side pockets, a back pocket and ribbed hems. Soft brushed inside."
118458029,Jerry jogger bottoms,Trousers,Garment Lower body,Melange,Dark Grey,Dark,Grey,Jersey Basic,Menswear,Menswear,Men Underwear,Jersey Basic,"Trousers in sweatshirt fabric with an elasticated drawstring waist, side pockets, a back pocket and ribbed hems. Soft brushed inside."
118458034,Jerry jogger bottoms,Trousers,Garment Lower body,Solid,Pink,Medium Dusty,Pink,Jersey Basic,Menswear,Menswear,Men Underwear,Jersey Basic,"Trousers in sweatshirt fabric with an elasticated drawstring waist, side pockets, a back pocket and ribbed hems. Soft brushed inside."
118458038,Jerry jogger bottoms,Trousers,Garment Lower body,Melange,Black,Dark,Grey,Jersey Basic,Menswear,Menswear,Men Underwear,Jersey Basic,"Trousers in sweatshirt fabric with an elasticated drawstring waist, side pockets, a back pocket and ribbed hems. Soft brushed inside."
118458039,Jerry jogger bottoms,Trousers,Garment Lower body,Melange,Dark Blue,Medium Dusty,Lilac Purple,Jersey Basic,Menswear,Menswear,Men Underwear,Jersey Basic,"Trousers in sweatshirt fabric with an elasticated drawstring waist, side pockets, a back pocket and ribbed hems. Soft brushed inside."
120129001,Babette long,Leggings/Tights,Garment Lower body,Solid,Black,Dark,Black,Jersey,Ladieswear,Ladieswear,Mama,Jersey Fancy,Leggings in soft jersey with a wide panel at the waist for best fit over the tummy. The cotton content of the leggings is organic.
120129014,Babette long,Leggings/Tights,Garment Lower body,Melange,Black,Dark,Grey,Jersey,Ladieswear,Ladieswear,Mama,Jersey Fancy,Leggings in soft jersey with a wide panel at the waist for best fit over the tummy. The cotton content of the leggings is organic.
120129018,Babette long,Leggings/Tights,Garment Lower body,Solid,Dark Red,Dark,Red,Jersey,Ladieswear,Ladieswear,Mama,Jersey Fancy,Leggings in soft jersey with a wide panel at the waist for best fit over the tummy. The cotton content of the leggings is organic.
120129025,Babette long,Leggings/Tights,Garment Lower body,All over pattern,Dark Grey,Dark,Grey,Jersey,Ladieswear,Ladieswear,Mama,Jersey Fancy,Leggings in soft jersey with a wide panel at the waist for best fit over the tummy. The cotton content of the leggings is organic.
123173001,Control Top 50 den 1p Tights,Leggings/Tights,Garment Lower body,Solid,Black,Dark,Black,Tights basic,Lingeries/Tights,Ladieswear,"Womens Nightwear, Socks & Tigh",Socks and Tights,50 denier tights with reinforcement at the top for a shaping effect on the tummy and thighs.
126589006,2p Claw,Hair clip,Accessories,Solid,Black,Dark,Black,EQ & Special Collections,Ladies Accessories,Ladieswear,Womens Small accessories,Accessories,Plastic hair claws. Width 3.5 cm.
126589007,2p Claw,Hair clip,Accessories,Transparent,Greyish Beige,Dark,Mole,EQ & Special Collections,Ladies Accessories,Ladieswear,Womens Small accessories,Accessories,Plastic hair claws. Width 3.5 cm.
126589010,2p Claw,Hair clip,Accessories,Metallic,Light Orange,Light,Orange,EQ & Special Collections,Ladies Accessories,Ladieswear,Womens Small accessories,Accessories,Plastic hair claws. Width 3.5 cm.
126589011,2p Claw,Hair clip,Accessories,Metallic,Silver,Light,Metal,Hair Accessories,Ladies Accessories,Ladieswear,Womens Small accessories,Accessories,Plastic hair claws. Width 3.5 cm.
